,방송일시,노출(분),상품명,상품군,판매단가,취급액,판매수량,요일,휴일,공휴일,New판매단가,단위가격,남여,무이자/일시불,최저기온,최고기온,평균기온,강수량,미세먼지농도,소비자물가지수,시각,시각인덱스,New상품명,공휴일 여부,휴일 여부,New요일
12294,2019-04-30 11:40,20,일시불 에지리 스텐큐브 프라이팬,9,171000,31278000,183,Tuesday,No,No,11,0,2,1,9.8,20.5,14.6,0.1,24,104.87,11:40:00,70,41,0,0,1
5964,2019-03-03 13:00,20,일시불 삼성 노트북 9 메탈 고급형 NT900X5J-K28,1,1259000,0,0,Sunday,Yes,No,12,1,2,1,2.4,14.8,8.7,0,70,104.49,13:00:00,78,13,0,1,6
30379,2019-10-18 22:00,20,일시불 LG 울트라HD TV 65UM7900BNA,1,1750000,0,0,Friday,No,No,12,0,2,1,11,19.5,15.3,3.8,19,105.46,22:00:00,132,1,0,0,4
26390,2019-09-10 21:40,20,일시불 LG 울트라HD TV 75UK7400KNA,1,2900000,13500000,5,Tuesday,No,No,12,0,2,1,22.5,29.6,25.4,15.3,22,105.2,21:40:00,130,1,0,0,1
12936,2019-05-05 21:20,20,무이자 LG 울트라HD TV 75UK6200KNB,1,3090000,7184000,3,Sunday,Yes,No,12,0,2,0,10.9,27.3,18.9,0,49,105.05,21:20:00,128,1,0,1,6
24286,2019-08-19 21:40,20,무이자 LG 울트라HD TV 75UK7400KNA,1,3190000,14944000,5,Monday,No,No,12,0,2,0,20,30.8,25.1,0.4,25,104.81,21:40:00,130,1,0,0,0
21454,2019-07-23 21:40,20,무이자 LG 울트라HD TV 70UK7400KNA,1,2690000,0,0,Tuesday,No,No,12,0,2,0,24.2,32.8,27.9,0,21,104.56,21:40:00,130,1,0,0,1
22947,2019-08-07 15:00,30,[루이띠에] 18K 베르니아 팔찌 반지 세트,8,2030000,4388000,3,Wednesday,No,No,12,0,2,2,23.8,32.1,27.2,14.7,27,104.81,15:00:00,90,75,0,0,2
4843,2019-02-20 8:40,20,뉴 클레린 티메이커 시그니처플러스 1+1,9,83800,24723000,296,Wednesday,No,No,9,1,2,2,-0.5,7,2.8,0,42,104.69,8:40:00,52,0,0,0,2
34563,2019-12-02 20:40,20,(퀸+퀸)일월 품안애 온수매트,4,248000,25302000,103,Monday,No,No,12,1,2,2,0.2,6.8,3.6,0.2,20,105.12,20:40:00,124,15,0,0,0
3641,2019-02-08 15:20,20,일시불 쿠쿠 하이브리드 인덕션레인지(프리미엄형),9,769000,1844000,3,Friday,No,No,12,1,2,1,-5.9,3.2,-2,0,24,104.69,15:20:00,92,0,0,0,4
32498,2019-11-10 11:40,20,피시원 국내산 햇 손질문어 7팩,3,49900,60977000,1222,Sunday,Yes,No,5,1,2,2,3,15.8,9.4,8.5,28,104.87,11:40:00,70,48,0,1,6
15524,2019-05-27 21:30,30,USPA  남성 폴로셔츠 위켄드 컬렉션 3종,6,79000,41810000,530,Monday,No,No,9,1,0,2,15.4,22.1,18.6,22.9,21,105.05,21:30:00,129,0,0,0,0
11439,2019-04-22 12:00,20,무이자 아이넥스 프리미엄 올스텐 싱크선반,9,94800,3333000,36,Monday,No,No,9,1,2,0,10.2,25.6,17.6,0,49,104.87,12:00:00,72,0,0,0,0
9807,2019-04-08 1:00,20,일시불 선일금고 이볼브 시리즈 EV-040,4,450000,21500000,48,Monday,No,No,12,0,2,1,5.1,19.1,11.8,0,34,104.87,1:00:00,6,0,0,0,0
34104,2019-11-28 2:00,10,에버라스트 제니스 백팩 3종,8,59000,5599000,95,Thursday,No,No,6,1,2,2,0.3,10.4,4.7,3.1,25,104.87,2:00:00,12,81,0,0,3
26561,2019-09-12 16:20,20,(무)100%리얼착즙석류 4박스,2,77000,5087000,67,Thursday,No,Yes,9,0,2,2,18.6,23.5,20.8,5.6,12,105.2,16:20:00,98,63,1,0,3
7179,2019-03-14 21:40,20,(무) 삼익가구 LED 제니비 서랍형 침대 SS,0,549000,4262000,8,Thursday,No,No,12,1,2,2,-2.4,11.8,5.2,0,32,104.49,21:40:00,130,3,0,0,3
7797,2019-03-21 1:30,30,일시불  모즈 커피머신&미니오븐,9,168000,9008000,54,Thursday,No,No,11,1,2,1,4.5,15,9.8,2.1,26,104.49,1:30:00,9,0,0,0,3
1788,2019-01-20 11:20,20,무이자 LG 통돌이 세탁기,1,489000,27095000,56,Sunday,Yes,No,12,1,2,0,-2.8,5.5,1.6,0.1,40,104.24,11:20:00,68,10,0,1,6
4069,2019-02-12 23:20,20,(일) 삼익가구 LED 제니비 서랍형 침대 K,0,599000,16905000,29,Tuesday,No,No,12,1,2,2,-6,6,0.1,0,45,104.69,23:20:00,140,3,0,0,1
21141,2019-07-21 1:00,20,[가이거] 블랙 에디션 다이아몬드 워치(남성용),8,178000,16807000,95,Sunday,Yes,No,11,1,2,2,22.6,27.8,24.8,20,19,104.56,1:00:00,6,107,0,1,6
685,2019-01-08 19:40,20,푸마 NEW 트렁크 패키지,5,89000,4089000,46,Tuesday,No,No,9,1,2,2,-4.8,4.2,-0.7,0,37,104.24,19:40:00,118,19,0,0,1
23333,2019-08-11 8:00,30,무이자 2019년 타이거 충전식 무선 예초기+배터리 1개,4,167000,18241000,110,Sunday,Yes,No,11,0,2,0,24.8,32.3,28.3,8,20,104.81,8:00:00,48,80,0,1,6
20703,2019-07-17 14:20,20,삭루츠 호보백(TQ48),8,58000,12889000,223,Wednesday,No,No,6,1,2,2,20.7,28.8,24.4,3.7,26,104.56,14:20:00,86,0,0,0,2
24867,2019-08-25 21:40,20,일시불 LG 울트라HD TV 55UK6800HNC,1,1200000,14007000,12,Sunday,Yes,No,12,0,2,1,18.9,28.7,23.2,1.2,19,104.81,21:40:00,130,1,0,1,6
27364,2019-09-19 20:40,20,무이자 매직쉐프 플랫타입 전자레인지,9,119000,20217000,170,Thursday,No,No,10,1,2,0,13.5,25.6,19.2,0,24,105.2,20:40:00,124,60,0,0,3
35441,2019-12-10 22:20,20,초특가 일시불 삼성 UHD TV UN65RU7150FXKR,1,1530000,4176000,3,Tuesday,No,No,12,0,2,1,1.5,13.4,6.5,0.4,57,105.12,22:20:00,134,1,0,0,1
23817,2019-08-15 10:30,30,[루이띠에] 18k 인피니티러브 주얼리 세트,8,1690000,28941000,18,Thursday,No,Yes,12,0,2,2,24.2,29.1,26.1,15.8,14,104.81,10:30:00,63,0,1,0,3
10152,2019-04-11 6:20,20,무이자 메디컬드림 롤링마사지기 (KMD-970),4,108000,4540000,43,Thursday,No,No,10,1,2,0,3.3,14.3,8.8,0,20,104.87,6:20:00,38,0,0,0,3
31482,2019-10-30 21:00,20,보루네오 루나시즌2 유로탑 멀티수납형 LED침대 슈퍼싱글,0,548000,8048000,15,Wednesday,No,No,12,1,2,2,5.7,18.3,11.3,0,36,105.46,21:00:00,126,18,0,0,2
21966,2019-07-28 21:20,20,라쉬반 레알마드리드 에디션 드로즈 패키지,5,119000,3372000,29,Sunday,Yes,No,10,1,2,2,25,29.9,26.9,10.9,17,104.56,21:20:00,128,6,0,1,6
31836,2019-11-03 16:20,20,완도꼬마활전복 1.3kg,3,29900,64966000,2173,Sunday,Yes,No,1,1,2,2,9.4,20.5,13.8,1.5,42,104.87,16:20:00,98,0,0,1,6
34049,2019-11-27 15:30,10,AAA 19 F/W 남성 트레킹화 3종,8,49800,8954000,180,Wednesday,No,No,5,1,2,2,2.6,9.7,6.2,1,26,104.87,15:30:00,93,0,0,0,2
25300,2019-08-30 22:00,20,무이자 브람스안마의자 럭셔리,4,1980000,0,0,Friday,No,No,12,0,2,0,18.6,28.1,22.9,0.2,19,104.81,22:00:00,132,0,0,0,4
16494,2019-06-06 14:20,20,뱅뱅 남성 썸머 데님팬츠 3종(2019 S/S),6,79900,26481000,332,Thursday,No,Yes,9,1,0,2,16.9,26.9,21.1,20.7,39,104.88,14:20:00,86,42,1,0,3
6136,2019-03-05 0:00,30,무이자  모즈 커피머신&미니오븐,9,188000,6381000,34,Tuesday,No,No,11,1,2,0,1.2,14.4,8.2,0,120,104.49,0:00:00,0,0,0,0,1
34354,2019-11-30 19:00,20,(싱글+싱글)일월 품안애 온수매트,4,198000,12768000,65,Saturday,Yes,No,11,1,2,2,-1.5,12.7,5.4,0.1,27,104.87,19:00:00,114,15,0,1,5
24410,2019-08-20 23:20,20,(일)[보루네오] 피올레 천연소가죽 소파 6인용,0,1199000,3085000,3,Tuesday,No,No,12,1,2,2,21.7,30.9,26,0.2,28,104.81,23:20:00,140,8,0,0,1
16836,2019-06-09 21:20,20,일시불 LG 울트라HD TV 65UK6800HNC,1,1700000,7640000,5,Sunday,Yes,No,12,0,2,1,16.1,25,19.7,1.5,22,104.88,21:20:00,128,1,0,1,6
22878,2019-08-06 21:00,20,무이자 LG전자 매직스페이스 냉장고,1,1499000,28830000,20,Tuesday,No,No,12,1,2,0,23.8,32.1,27.6,10.9,28,104.81,21:00:00,126,9,0,0,1
33257,2019-11-18 17:40,20,몬테밀라노 웜기모 치마레깅스 4종,5,79900,25425000,319,Monday,No,No,9,1,2,2,3.4,16.4,8.7,11.6,54,104.87,17:40:00,106,70,0,0,0
32554,2019-11-10 23:40,20,[가이거] 블랙 에디션 다이아몬드 워치(여성용),8,178000,17041000,96,Sunday,Yes,No,11,1,2,2,3,15.8,9.4,8.5,28,104.87,23:40:00,142,107,0,1,6
31659,2019-11-01 20:20,20,(싱글사이즈)일월 순면 온열매트,4,78000,7587000,98,Friday,No,No,9,1,2,2,9,21.8,14.3,0,71,104.87,20:20:00,122,69,0,0,4
10300,2019-04-12 16:00,20,[본죽] 그때 그 쇠고기 장조림 세트(총 13팩),3,49900,17979000,361,Friday,No,No,5,1,2,2,4.1,17.7,10.7,0.1,31,104.87,16:00:00,96,0,0,0,4
35130,2019-12-08 11:00,20,(퀸사이즈)일월 품안애 온수매트,4,148000,9433000,64,Sunday,Yes,No,11,1,2,2,-3.3,8,1.4,0,37,105.12,11:00:00,66,15,0,1,6
10496,2019-04-14 10:00,20,일시불 삼성 UHD TV UN55NU7050F,1,1000000,0,0,Sunday,Yes,No,12,0,2,1,6.3,14.7,10.2,0.8,31,104.87,10:00:00,60,1,0,1,6
37370,2020-01-01 0:00,20,무이자쿠첸압력밥솥 6인용,9,158000,13765000,88,Wednesday,No,Yes,11,1,2,0,-6.5,4.1,-0.9,0,23,104.24,0:00:00,0,4,1,0,2
31863,2019-11-03 22:20,20,일시불 1+1 국내제조 노비타 뉴스파 비데  무료설치,4,418000,0,0,Sunday,Yes,No,12,1,2,1,9.4,20.5,13.8,1.5,42,104.87,22:20:00,134,23,0,1,6
22252,2019-07-31 22:20,20,무이자 LG 울트라HD TV 70UK7400KNA,1,2690000,6116000,3,Wednesday,No,No,12,0,2,0,25.2,32.2,28.4,6,15,104.56,22:20:00,134,1,0,0,2
17575,2019-06-16 14:40,20,K-SWISS 남성PK티셔츠4종,6,59900,44430000,742,Sunday,Yes,No,6,1,0,2,15.2,26.1,20.2,0.1,21,104.88,14:40:00,88,46,0,1,6
34013,2019-11-27 6:20,20,구스터 티포트 1+1 세트,9,69900,10950000,157,Wednesday,No,No,8,1,2,2,2.6,9.7,6.2,1,26,104.87,6:20:00,38,0,0,0,2
28787,2019-10-03 13:00,20,코치 플라이트백,8,169000,2132000,13,Thursday,No,Yes,11,1,2,2,18.7,26.3,22,28.9,20,105.46,13:00:00,78,0,1,0,3
4055,2019-02-12 21:40,20,무이자 LG 울트라HD TV 70UK6800HNC,1,2990000,23055000,8,Tuesday,No,No,12,0,2,0,-6,6,0.1,0,45,104.69,21:40:00,130,1,0,0,1
10806,2019-04-16 22:20,20,일시불 삼성 UHD TV UN55NU7050F,1,1000000,6083000,7,Tuesday,No,No,12,0,2,1,4.3,23.3,14.2,0,38,104.87,22:20:00,134,1,0,0,1
1023,2019-01-12 14:00,20,무이자 린나이 간편쿡 자동불꽃조절 가스레인지 3구,9,238000,9306000,40,Saturday,Yes,No,12,1,2,0,-0.3,7.5,3,2.4,55,104.24,14:00:00,84,12,0,1,5
14141,2019-05-15 6:40,10,에버라스트 드로즈 10+4종,5,39900,10228000,257,Wednesday,No,No,3,1,2,2,14.3,27.3,20.3,0,42,105.05,6:40:00,40,6,0,0,2
9873,2019-04-08 19:00,20,K-SWISS 여성에어핏트랙수트,6,89000,9070000,102,Monday,No,No,9,1,1,2,5.1,19.1,11.8,0,34,104.87,19:00:00,114,0,0,0,0
27030,2019-09-16 23:00,20,무이자 선일금고 이볼브 시리즈 EV-020,4,440000,0,0,Monday,No,No,12,0,2,0,18.1,28.2,22.4,0.2,17,105.2,23:00:00,138,0,0,0,0
10666,2019-04-15 19:20,20,일시불 19년 신제품  쿠첸 풀스텐 압력밥솥 10인용(A1),9,168000,15696000,94,Monday,No,No,11,1,2,1,2.3,19.6,11.1,0,46,104.87,19:20:00,116,4,0,0,0
19524,2019-07-06 20:20,20,국내산 손질갑오징어 8팩,3,49900,29108000,584,Saturday,Yes,No,5,1,2,2,19,31.3,25.1,0,28,104.56,20:20:00,122,98,0,1,5
31035,2019-10-25 16:00,20,[VONIN]보닌 남성기초세트,7,54000,30950000,574,Friday,No,No,5,0,2,2,12,22.7,16.9,0.3,22,105.46,16:00:00,96,87,0,0,4
3423,2019-02-06 17:00,20,무이자 쿠첸 풀스텐 압력밥솥 6인용(A1),9,158000,2316000,15,Wednesday,No,Yes,11,1,2,0,-1.2,12.9,5.6,0,72,104.69,17:00:00,102,4,1,0,2
30204,2019-10-17 7:20,20,정직한 농부의 석류,2,59900,29475000,493,Thursday,No,No,6,1,2,2,9.5,19.9,14,0,26,105.46,7:20:00,44,63,0,0,3
19960,2019-07-10 23:20,20,(무)[보루네오] 피올레 천연소가죽 소파 6인용,0,1249000,3154000,3,Wednesday,No,No,12,1,2,2,19.2,23.3,20.9,20.7,12,104.56,23:20:00,140,8,0,0,2
9268,2019-04-03 20:00,20,일시불 삼성 UHD TV UN65NU7050F,1,1700000,0,0,Wednesday,No,No,12,0,2,1,-0.4,14.5,7.4,0,29,104.87,20:00:00,120,1,0,0,2
35255,2019-12-09 9:20,20,영산포숙성홍어회7팩,3,29900,32873000,1100,Monday,No,No,1,1,2,2,-3.6,10.1,3,0.1,43,105.12,9:20:00,56,0,0,0,0
26501,2019-09-11 22:20,20,일시불 LG전자 매직스페이스 냉장고,1,1359000,34691000,26,Wednesday,No,No,12,1,2,1,21.5,27.8,23.9,7.4,19,105.2,22:20:00,134,9,0,0,2
29827,2019-10-13 8:40,20,CERINI by PAT 남성 어반 카라 티셔츠 4종(8월),6,49900,76126000,1526,Sunday,Yes,No,5,1,0,2,10.6,22.3,15.9,0,21,105.46,8:40:00,52,46,0,1,6
25186,2019-08-29 12:20,20,쿠쿠 블랙스톤 전기밥솥 6인용(세일),9,228000,13609000,60,Thursday,No,No,12,1,2,2,19.9,25.7,22.4,4.2,24,104.81,12:20:00,74,59,0,0,3
391,2019-01-05 18:20,20,바다먹자 국내산 손질꽃게 7팩,3,59900,26816000,448,Saturday,Yes,No,6,1,2,2,-4.6,5.3,0.2,0,47,104.24,18:20:00,110,104,0,1,5
22941,2019-08-07 13:40,20,삭루츠 더플백(여행가방)(TQ49),8,98000,9433000,97,Wednesday,No,No,10,1,2,2,23.8,32.1,27.2,14.7,27,104.81,13:40:00,82,91,0,0,2
4744,2019-02-19 10:40,20,일시불  쿠쿠전기밥솥 6인용,9,198000,7917000,40,Tuesday,No,No,11,1,2,1,0.6,5.7,2.9,16.3,24,104.69,10:40:00,64,59,0,0,1
1473,2019-01-16 22:40,20,아리스토우 남성 패딩트랙수트세트,6,59900,9593000,161,Wednesday,No,No,6,1,0,2,-7.9,1.7,-3.2,0,36,104.24,22:40:00,136,44,0,0,2
34242,2019-11-29 16:00,20,(퀸+싱글)일월 품안애 온수매트,4,218000,5672000,27,Friday,No,No,11,1,2,2,-1.2,9.9,3.4,0,23,104.87,16:00:00,96,15,0,0,4
17136,2019-06-12 15:00,20,에코라믹 통주물 스톤 냄비세트,9,60900,13108000,216,Wednesday,No,No,7,1,2,2,14.3,25.9,19.7,0,22,104.88,15:00:00,90,24,0,0,2
32484,2019-11-10 8:40,20,컬럼비아 남성 옴니히트 업 베이스레이어 4종,5,79000,46448000,588,Sunday,Yes,No,9,1,2,2,3,15.8,9.4,8.5,28,104.87,8:40:00,52,0,0,1,6
3576,2019-02-07 22:40,20,일시불 삼성 노트북 9 메탈 기본형 NT900X5J-K14,1,999000,11292000,12,Thursday,No,No,12,1,2,1,-3.9,7.4,2.1,0.5,44,104.69,22:40:00,136,13,0,0,3
21394,2019-07-23 15:20,20,일시불 매직쉐프 플랫타입 전자레인지,9,109000,27287000,251,Tuesday,No,No,10,1,2,1,24.2,32.8,27.9,0,21,104.56,15:20:00,92,60,0,0,1
24043,2019-08-17 16:00,20,국내산 손질갑오징어 9팩,3,49900,40359000,809,Saturday,Yes,No,5,1,2,2,22,31,26.2,2.1,28,104.81,16:00:00,96,98,0,1,5
22600,2019-08-04 12:00,20,무이자 삼성 무풍클래식 스탠드에어컨AF19R7573WZK,1,2349000,0,0,Sunday,Yes,No,12,1,2,0,23.9,34.2,28.4,0.6,28,104.81,12:00:00,72,7,0,1,6
23288,2019-08-10 16:40,20,임성근의 녹용도가니탕 풀세트,3,55900,67364000,1206,Saturday,Yes,No,6,1,2,2,24.5,33.4,28.6,0,23,104.81,16:40:00,100,47,0,1,5
17652,2019-06-17 13:40,20,무이자 린나이 자동불꽃조절 가스레인지 3구,9,289000,14667000,51,Monday,No,No,12,1,2,0,16.8,26.8,21.3,0,22,104.88,13:40:00,82,12,0,0,0
12379,2019-05-01 9:00,20,K-SWISS 여성PK티셔츠4종,6,69900,5871000,84,Wednesday,No,No,8,1,1,2,10.1,22.1,15.4,0,48,105.05,9:00:00,54,46,0,0,2
31191,2019-10-27 12:20,20,푸마 웜셀(WARM CELL)원피스 브라탑 3종세트,5,69000,29144000,423,Sunday,Yes,No,8,1,2,2,5.4,17.4,10.7,0,30,105.46,12:20:00,74,66,0,1,6
14593,2019-05-19 14:20,20,일시불 대우전자 벽걸이 에어컨TDOZ-S10JK,1,809000,5002000,7,Sunday,Yes,No,12,1,2,1,16.9,22.6,19.5,7.2,17,105.05,14:20:00,86,7,0,1,6
7921,2019-03-22 9:20,20,일시불 에지리 스텐큐브 프라이팬,9,171000,17049000,100,Friday,No,No,11,0,2,1,1.6,10.5,5.2,0,35,104.49,9:20:00,56,41,0,0,4
29111,2019-10-06 9:20,20,노와 멀티 만능 다지기 1+1세트,9,59800,22539000,377,Sunday,Yes,No,6,1,2,2,13.4,21.8,17.3,0,16,105.46,9:20:00,56,0,0,1,6
37325,2019-12-31 17:00,20,일시불 키친플라워 대용량 에어프라이어 5.8L,9,70900,37062000,523,Tuesday,No,No,8,1,2,1,-6.7,0.4,-3.8,0.1,19,105.12,17:00:00,102,21,0,0,1
9636,2019-04-06 21:40,20,무이자 LG 울트라HD TV 65UK6800HNC,1,1930000,23876000,13,Saturday,Yes,No,12,0,2,0,3.4,19,11.6,0.6,56,104.87,21:40:00,130,1,0,1,5
