,Unnamed: 0,방송일시,노출(분),상품명,상품군,판매단가,취급액,판매수량
116,116,2019-01-02 16:20,20.0,"SPC삼립 한입 호빵 13봉(단일, 팥 13봉)",농수축,30900,9744000.0,316
117,117,2019-01-02 16:40,20.0,"SPC삼립 한입 호빵 13봉(혼합, 팥8+야채5봉)",농수축,30900,18931000.0,613
118,118,2019-01-02 16:40,20.0,"SPC삼립 한입 호빵 13봉(단일, 팥 13봉)",농수축,30900,11181000.0,362
119,119,2019-01-02 17:00,20.0,바다먹자 국내산 손질꽃게 7팩,농수축,59900,30903000.0,516
120,120,2019-01-02 17:20,20.0,바다먹자 국내산 손질꽃게 7팩,농수축,59900,50056000.0,836
121,121,2019-01-02 17:40,20.0,바다먹자 국내산 손질꽃게 7팩,농수축,59900,49237000.0,822
122,122,2019-01-02 18:00,20.0,키친플라워 대용량 디지털 에어프라이어 5L,주방,89800,22422000.0,250
123,123,2019-01-02 18:20,20.0,키친플라워 대용량 디지털 에어프라이어 5L,주방,89800,33817000.0,377
124,124,2019-01-02 18:40,20.0,키친플라워 대용량 디지털 에어프라이어 5L,주방,89800,44814000.0,500
125,125,2019-01-02 19:00,20.0,피시원 국내산 손질 대구 8팩 * 매운탕 양념 8팩,농수축,59900,25985000.0,434
126,126,2019-01-02 19:20,20.0,피시원 국내산 손질 대구 8팩 * 매운탕 양념 8팩,농수축,59900,36647000.0,612
127,127,2019-01-02 19:40,20.0,피시원 국내산 손질 대구 8팩 * 매운탕 양념 8팩,농수축,59900,65853000.0,1100
128,128,2019-01-02 20:00,20.0,푸마 코튼 라이크라 드로즈 12종,속옷,89000,18424000.0,208
129,129,2019-01-02 20:00,20.0,푸마 INNO 심리스 롱드로즈 7종,속옷,89000,422000.0,5
130,130,2019-01-02 20:00,20.0,푸마 드라이셀라인 뉴 런닝 9종,속옷,89000,1506000.0,17
131,131,2019-01-02 20:20,20.0,푸마 코튼 라이크라 드로즈 12종,속옷,89000,41096000.0,462
132,132,2019-01-02 20:20,20.0,푸마 INNO 심리스 롱드로즈 7종,속옷,89000,2575000.0,29
133,133,2019-01-02 20:20,20.0,푸마 드라이셀라인 뉴 런닝 9종,속옷,89000,3660000.0,42
134,134,2019-01-02 20:40,20.0,푸마 코튼 라이크라 드로즈 12종,속옷,89000,52885000.0,595
135,135,2019-01-02 20:40,20.0,푸마 INNO 심리스 롱드로즈 7종,속옷,89000,3029000.0,35
136,136,2019-01-02 20:40,20.0,푸마 드라이셀라인 뉴 런닝 9종,속옷,89000,4155000.0,47
137,137,2019-01-02 21:00,20.0,일시불 LG전자 매직스페이스 냉장고,가전,1409000,14485000.0,11
138,138,2019-01-02 21:00,20.0,무이자 LG전자 매직스페이스 냉장고,가전,1549000,11986000.0,8
139,139,2019-01-02 21:20,20.0,일시불 LG전자 매직스페이스 냉장고,가전,1409000,25312000.0,18
140,140,2019-01-02 21:20,20.0,무이자 LG전자 매직스페이스 냉장고,가전,1549000,11960000.0,8
141,141,2019-01-02 21:40,20.0,일시불 LG전자 매직스페이스 냉장고,가전,1409000,21729000.0,16
142,142,2019-01-02 21:40,20.0,무이자 LG전자 매직스페이스 냉장고,가전,1549000,23895000.0,16
143,143,2019-01-02 22:00,20.0,일시불 LG 울트라HD TV 55UK6800HNC,가전,1300000,3177000.0,3
144,144,2019-01-02 22:00,20.0,무이자 LG 울트라HD TV 55UK6800HNC,가전,1440000,0.0,0
145,145,2019-01-02 22:00,20.0,일시불 LG 울트라HD TV 65UK6800HNC,가전,1900000,13796000.0,8
146,146,2019-01-02 22:00,20.0,무이자 LG 울트라HD TV 65UK6800HNC,가전,2130000,10329000.0,5
147,147,2019-01-02 22:00,20.0,일시불 LG 울트라HD TV 70UK7400KNA,가전,2700000,0.0,0
148,148,2019-01-02 22:00,20.0,무이자 LG 울트라HD TV 70UK7400KNA,가전,2990000,0.0,0
149,149,2019-01-02 22:20,20.0,일시불 LG 울트라HD TV 55UK6800HNC,가전,1300000,3177000.0,3
150,150,2019-01-02 22:20,20.0,무이자 LG 울트라HD TV 55UK6800HNC,가전,1440000,3541000.0,3
151,151,2019-01-02 22:20,20.0,일시불 LG 울트라HD TV 65UK6800HNC,가전,1900000,32123000.0,17
152,152,2019-01-02 22:20,20.0,무이자 LG 울트라HD TV 65UK6800HNC,가전,2130000,5189000.0,3
153,153,2019-01-02 22:20,20.0,일시불 LG 울트라HD TV 70UK7400KNA,가전,2700000,0.0,0
154,154,2019-01-02 22:20,20.0,무이자 LG 울트라HD TV 70UK7400KNA,가전,2990000,0.0,0
155,155,2019-01-02 22:40,20.0,일시불 LG 울트라HD TV 55UK6800HNC,가전,1300000,6305000.0,5
156,156,2019-01-02 22:40,20.0,무이자 LG 울트라HD TV 55UK6800HNC,가전,1440000,6983000.0,5
157,157,2019-01-02 22:40,20.0,일시불 LG 울트라HD TV 65UK6800HNC,가전,1900000,36730000.0,20
158,158,2019-01-02 22:40,20.0,무이자 LG 울트라HD TV 65UK6800HNC,가전,2130000,15468000.0,8
159,159,2019-01-02 22:40,20.0,일시불 LG 울트라HD TV 70UK7400KNA,가전,2700000,0.0,0
160,160,2019-01-02 22:40,20.0,무이자 LG 울트라HD TV 70UK7400KNA,가전,2990000,14523000.0,5
161,161,2019-01-02 23:00,20.0,크로커다일 풀커버 레이스 브라팬티 4세트,속옷,79900,29048000.0,364
162,162,2019-01-02 23:20,20.0,크로커다일 풀커버 레이스 브라팬티 4세트,속옷,79900,46224000.0,579
163,163,2019-01-02 23:40,20.0,크로커다일 풀커버 레이스 브라팬티 4세트,속옷,79900,31298000.0,392
164,164,2019-01-03 0:00,20.0,테이트 남성 셀린니트3종,의류,39900,7329000.0,184
165,165,2019-01-03 0:00,20.0,테이트 여성 셀린니트3종,의류,39900,12050000.0,303
166,166,2019-01-03 0:20,20.0,테이트 남성 셀린니트3종,의류,39900,10481000.0,263
167,167,2019-01-03 0:20,20.0,테이트 여성 셀린니트3종,의류,39900,22520000.0,565
168,168,2019-01-03 1:00,20.0,푸마 웜셀 기모 치마레깅스 3종,속옷,59000,13185000.0,224
169,169,2019-01-03 1:20,20.0,푸마 웜셀 기모 치마레깅스 3종,속옷,59000,17348000.0,295
170,170,2019-01-03 1:40,17.0,푸마 웜셀 기모 치마레깅스 3종,속옷,59000,24910000.0,423
171,171,2019-01-03 6:00,20.0,에펨 여성 미들퍼부츠,잡화,39800,2450000.0,62
172,172,2019-01-03 6:00,20.0,에펨 남성 미들퍼부츠,잡화,49800,2645000.0,54
173,173,2019-01-03 6:20,20.0,에펨 여성 미들퍼부츠,잡화,39800,5609000.0,141
174,174,2019-01-03 6:20,20.0,에펨 남성 미들퍼부츠,잡화,49800,3874000.0,78
175,175,2019-01-03 6:40,20.0,에펨 여성 미들퍼부츠,잡화,39800,9045000.0,228
176,176,2019-01-03 6:40,20.0,에펨 남성 미들퍼부츠,잡화,49800,6162000.0,124
177,177,2019-01-03 7:00,20.0,천연담아 명품다시팩 100포,농수축,39900,20546000.0,515
178,178,2019-01-03 7:20,20.0,천연담아 명품다시팩 100포,농수축,39900,26917000.0,675
179,179,2019-01-03 7:40,20.0,천연담아 명품다시팩 100포,농수축,39900,35153000.0,882
180,180,2019-01-03 8:00,20.0,엘렌실라 달팽이크림(콜라겐5+팩트3),이미용,79000,13665000.0,173
181,181,2019-01-03 8:20,20.0,엘렌실라 달팽이크림(콜라겐5+팩트3),이미용,79000,26788000.0,340
182,182,2019-01-03 8:40,20.0,엘렌실라 달팽이크림(콜라겐5+팩트3),이미용,79000,36208000.0,459
183,183,2019-01-03 9:00,20.0,로베르타 디 까메리노 노벨라백 2종,잡화,39000,17518000.0,450
184,184,2019-01-03 9:20,20.0,로베르타 디 까메리노 노벨라백 2종,잡화,39000,19488000.0,500
185,185,2019-01-03 9:40,20.0,로베르타 디 까메리노 노벨라백 2종,잡화,39000,36253000.0,930
186,186,2019-01-03 10:00,30.0,오모떼 360도 텐션업 레이스 패키지 시즌4,속옷,109000,32763000.0,301
187,187,2019-01-03 10:30,30.0,오모떼 360도 텐션업 레이스 패키지 시즌4,속옷,109000,70140000.0,644
188,188,2019-01-03 11:00,20.0,보코 리버시블 무스탕,의류,79000,16785000.0,213
189,189,2019-01-03 11:20,20.0,보코 리버시블 무스탕,의류,79000,32391000.0,411
190,190,2019-01-03 11:40,20.0,보코 리버시블 무스탕,의류,79000,35613000.0,451
191,191,2019-01-03 12:00,20.0,(직매입) 종근당건강 아이클리어 루테인,건강기능,69000,18481000.0,268
192,192,2019-01-03 12:20,20.0,(직매입) 종근당건강 아이클리어 루테인,건강기능,69000,24779000.0,360
193,193,2019-01-03 12:40,20.0,(직매입) 종근당건강 아이클리어 루테인,건강기능,69000,45269000.0,657
194,194,2019-01-03 13:00,20.0,비버리힐스폴로클럽 남성기초세트(2018FW골드),이미용,39800,30273000.0,761
195,195,2019-01-03 13:20,20.0,비버리힐스폴로클럽 남성기초세트(2018FW골드),이미용,39800,41669000.0,1047
196,196,2019-01-03 13:40,20.0,비버리힐스폴로클럽 남성기초세트(2018FW골드),이미용,39800,44782000.0,1126
197,197,2019-01-03 14:00,20.0,한일 대용량 스텐 분쇄믹서기,주방,109800,22816000.0,208
198,198,2019-01-03 14:20,20.0,한일 대용량 스텐 분쇄믹서기,주방,109800,47947000.0,437
199,199,2019-01-03 14:40,20.0,한일 대용량 스텐 분쇄믹서기,주방,109800,49139000.0,448
200,200,2019-01-03 15:00,20.0,(도냄)무이자 쿠쿠전기밥솥 10인용,주방,218000,13222000.0,61
201,201,2019-01-03 15:00,20.0,(도냄)일시불 쿠쿠전기밥솥 10인용,주방,208000,9656000.0,47
202,202,2019-01-03 15:00,20.0,(도냄)무이자 쿠쿠전기밥솥 6인용,주방,208000,1530000.0,8
203,203,2019-01-03 15:00,20.0,(도냄)일시불  쿠쿠전기밥솥 6인용,주방,198000,4272000.0,22
204,204,2019-01-03 15:20,20.0,(도냄)무이자 쿠쿠전기밥솥 10인용,주방,218000,31827000.0,146
205,205,2019-01-03 15:20,20.0,(도냄)일시불 쿠쿠전기밥솥 10인용,주방,208000,24436000.0,118
206,206,2019-01-03 15:20,20.0,(도냄)무이자 쿠쿠전기밥솥 6인용,주방,208000,5224000.0,26
207,207,2019-01-03 15:20,20.0,(도냄)일시불  쿠쿠전기밥솥 6인용,주방,198000,6379000.0,33
208,208,2019-01-03 15:40,20.0,(도냄)무이자 쿠쿠전기밥솥 10인용,주방,218000,16324000.0,75
209,209,2019-01-03 15:40,20.0,(도냄)일시불 쿠쿠전기밥솥 10인용,주방,208000,25184000.0,122
210,210,2019-01-03 15:40,20.0,(도냄)무이자 쿠쿠전기밥솥 6인용,주방,208000,6693000.0,33
211,211,2019-01-03 15:40,20.0,(도냄)일시불  쿠쿠전기밥솥 6인용,주방,198000,3576000.0,19
212,212,2019-01-03 16:00,20.0,청정수산 완도활전복 35미,농수축,59900,26611000.0,445
213,213,2019-01-03 16:20,20.0,청정수산 완도활전복 35미,농수축,59900,47757000.0,798
214,214,2019-01-03 16:40,20.0,청정수산 완도활전복 35미,농수축,59900,59853000.0,1000
215,215,2019-01-03 17:00,20.0,뽕셰프 이봉원 특갈비탕 12팩,농수축,60900,16350000.0,269
216,216,2019-01-03 17:20,20.0,뽕셰프 이봉원 특갈비탕 12팩,농수축,60900,33015000.0,543
217,217,2019-01-03 17:40,20.0,뽕셰프 이봉원 특갈비탕 12팩,농수축,60900,27284000.0,449
218,218,2019-01-03 18:00,20.0,영산포숙성 홍어8팩+무침3통,농수축,40900,29976000.0,733
219,219,2019-01-03 18:20,20.0,영산포숙성 홍어8팩+무침3통,농수축,40900,51728000.0,1265
220,220,2019-01-03 18:40,20.0,영산포숙성 홍어8팩+무침3통,농수축,40900,67200000.0,1644
221,221,2019-01-03 19:00,20.0,푸마 INNO 심리스 드로즈 (6차),속옷,89000,11888000.0,134
222,222,2019-01-03 19:00,20.0,푸마 INNO 심리스 롱드로즈 (1차),속옷,89000,1879000.0,22
223,223,2019-01-03 19:00,20.0,푸마 NEW 트렁크 패키지,속옷,89000,3419000.0,39
224,224,2019-01-03 19:20,20.0,푸마 INNO 심리스 드로즈 (6차),속옷,89000,19216000.0,216
225,225,2019-01-03 19:20,20.0,푸마 INNO 심리스 롱드로즈 (1차),속옷,89000,7147000.0,81
226,226,2019-01-03 19:20,20.0,푸마 NEW 트렁크 패키지,속옷,89000,2252000.0,26
227,227,2019-01-03 19:40,20.0,푸마 INNO 심리스 드로즈 (6차),속옷,89000,40329000.0,454
228,228,2019-01-03 19:40,20.0,푸마 INNO 심리스 롱드로즈 (1차),속옷,89000,4871000.0,55
229,229,2019-01-03 19:40,20.0,푸마 NEW 트렁크 패키지,속옷,89000,4458000.0,51
230,230,2019-01-03 20:00,20.0,노비타 스마트 비데,생활용품,189000,41183000.0,218
231,231,2019-01-03 20:20,20.0,노비타 스마트 비데,생활용품,189000,83995000.0,445
232,232,2019-01-03 20:40,20.0,노비타 스마트 비데,생활용품,189000,107418000.0,569
233,233,2019-01-03 21:00,20.0,일시불 LG 울트라HD TV 55UK6800HNC,가전,1300000,6305000.0,5
234,234,2019-01-03 21:00,20.0,무이자 LG 울트라HD TV 55UK6800HNC,가전,1440000,3517000.0,3
235,235,2019-01-03 21:00,20.0,일시불 LG 울트라HD TV 65UK6800HNC,가전,1900000,0.0,0
236,236,2019-01-03 21:00,20.0,무이자 LG 울트라HD TV 65UK6800HNC,가전,2130000,20608000.0,10
237,237,2019-01-03 21:00,20.0,일시불 LG 울트라HD TV 70UK7400KNA,가전,2700000,6571000.0,3
238,238,2019-01-03 21:00,20.0,무이자 LG 울트라HD TV 70UK7400KNA,가전,2990000,7299000.0,3
239,239,2019-01-03 21:20,20.0,일시불 LG 울트라HD TV 55UK6800HNC,가전,1300000,9432000.0,8
240,240,2019-01-03 21:20,20.0,무이자 LG 울트라HD TV 55UK6800HNC,가전,1440000,10450000.0,8
241,241,2019-01-03 21:20,20.0,일시불 LG 울트라HD TV 65UK6800HNC,가전,1900000,9214000.0,5
242,242,2019-01-03 21:20,20.0,무이자 LG 울트라HD TV 65UK6800HNC,가전,2130000,0.0,0
243,243,2019-01-03 21:20,20.0,일시불 LG 울트라HD TV 70UK7400KNA,가전,2700000,6596000.0,3
244,244,2019-01-03 21:20,20.0,무이자 LG 울트라HD TV 70UK7400KNA,가전,2990000,0.0,0
245,245,2019-01-03 21:40,20.0,일시불 LG 울트라HD TV 55UK6800HNC,가전,1300000,9480000.0,8
